SDR	7.1.1

-----Logger Information-----
Model #	2333
Serial #	00361
Hardware Rev.	007-000-000

-----Site Information-----
Site #	0361
Site Desc	Massanutten Regional Governor's School
Project Code	
Project Desc	WfS Partner Project
Site Location	Page County
Site Elevation	0
Latitude	38.735000N
Longitude	-78.646633W
Time offset (hrs)	-5

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Maximum Anem
Details	
Serial Number	None
Height	0
Scale Factor	1.711
Offset	0.78
Units	mph

Channel #	2
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	3
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	4
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	5
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	6
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	7
Type	3
Description	NRG #200P Wind Direc
Details	
Serial Number	None
Height	0
Scale Factor	1
Offset	0
Units	Degrees

Channel #	8
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	9
Type	4
Description	NRG #110S Temperatur
Details	
Serial Number	None
Height	0
Scale Factor	1
Offset	-123.5
Units	Degrees F

Channel #	10
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	11
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	12
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/06/2012 07:40:00	6.9	1.2																							225								-123.5															
09/06/2012 07:50:00	6.9	1.4																							248								-123.5															
09/06/2012 08:00:00	6.0	1.9																							225								-123.5															
09/06/2012 08:10:00	5.5	1.6																							225								-123.5															
09/06/2012 08:20:00	6.4	2.1																							225								-123.5															
09/06/2012 08:30:00	6.9	1.9																							225								-123.5															
09/06/2012 08:40:00	6.7	1.9																							225								-123.5															
09/06/2012 08:50:00	5.5	1.6																							202								-123.5															
09/06/2012 09:00:00	6.3	1.8																							202								-123.5															
09/06/2012 09:10:00	6.1	1.9																							225								-123.5															
09/06/2012 09:20:00	6.7	1.9																							225								-123.5															
09/06/2012 09:30:00	6.9	1.4																							248								-123.5															
09/06/2012 09:40:00	4.8	1.6																							248								-123.5															
09/06/2012 09:50:00	4.4	1.9																							248								-123.5															
09/06/2012 10:00:00	5.1	1.7																							248								-123.5															
09/06/2012 10:10:00	3.7	1.7																							225								-123.5															
09/06/2012 10:20:00	3.6	1.8																							225								-123.5															
09/06/2012 10:30:00	5.5	1.2																							248								-123.5															
09/06/2012 10:40:00	5.4	2.5																							248								-123.5															
09/06/2012 10:50:00	6.4	2.1																							248								-123.5															
09/06/2012 11:00:00	4.4	2.2																							248								-123.5															
09/06/2012 11:10:00	5.6	1.3																							248								-123.5															
09/06/2012 11:20:00	5.5	2.4																							248								-123.5															
09/06/2012 11:30:00	8.0	1.3																							248								-123.5															
09/06/2012 11:40:00	5.5	1.2																							225								-123.5															
09/06/2012 11:50:00	6.4	1.3																							202								-123.5															
09/06/2012 12:00:00	4.7	1.5																							202								-123.5															
09/06/2012 12:10:00	6.6	1.6																							225								-123.5															
09/06/2012 12:20:00	5.4	1.6																							202								-123.5															
09/06/2012 12:30:00	5.8	1.2																							202								-123.5															
09/06/2012 12:40:00	4.1	1.3																							225								-123.5															
09/06/2012 12:50:00	4.4	0.9																							225								-123.5															
09/06/2012 13:00:00	4.5	1.4																							225								-123.5															
09/06/2012 13:10:00	4.7	1.4																							225								-123.5															
09/06/2012 13:20:00	5.5	1.2																							202								-123.5															
09/06/2012 13:30:00	5.8	1.7																							202								-123.5															
09/06/2012 13:40:00	2.6	1.5																							225								-123.5															
09/06/2012 13:50:00	3.2	1.7																							225								-123.5															
09/06/2012 14:00:00	6.4	1.7																							202								-123.5															
09/06/2012 14:10:00	5.9	1.7																							225								-123.5															
09/06/2012 14:20:00	6.5	1.4																							225								-123.5															
09/06/2012 14:30:00	6.6	1.2																							248								-123.5															
09/06/2012 14:40:00	5.1	1.0																							248								-123.5															
09/06/2012 14:50:00	6.3	1.5																							248								-123.5															
09/06/2012 15:00:00	4.7	1.0																							225								-123.5															
09/06/2012 15:10:00	5.4	2.0																							248								-123.5															
09/06/2012 15:20:00	6.5	0.9																							270								-123.5															
09/06/2012 15:30:00	7.4	0.9																							270								-123.5															
09/06/2012 15:40:00	4.7	2.0																							225								-123.5															
09/06/2012 15:50:00	5.3	0.8																							202								-123.5															
09/06/2012 16:00:00	4.7	1.0																							225								-123.5															
09/06/2012 16:10:00	5.9	1.0																							225								-123.5															
09/06/2012 16:20:00	5.8	0.9																							225								-123.5															
09/06/2012 16:30:00	5.6	1.3																							225								-123.5															
09/06/2012 16:40:00	4.9	1.0																							202								-123.5															
09/06/2012 16:50:00	5.6	1.2																							225								-123.5															
09/06/2012 17:00:00	6.4	1.2																							225								-123.5															
09/06/2012 17:10:00	5.6	0.9																							225								-123.5															
09/06/2012 17:20:00	5.3	0.9																							225								-123.5															
